league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2627,Aston Villa,Ibrahim Mbaye,1,2026,71,12733,S,2,24,0,0.024263378232717514,0,0.024263378232717514,0,0.05233147367835045,1,1,0,0,0.05233147367835045,0.0
ENG-Premier League,2627,Aston Villa,Johan Manzambi,1,2026,71,13102,M S,2,103,1,0.8602598309516907,1,0.8602598309516907,1,0.43299949169158936,4,2,0,0,1.4037344716489315,0.42787760123610497
ENG-Premier League,2627,Aston Villa,John McGinn,1,2026,71,7723,M,5,447,0,0.5558831095695496,0,0.5558831095695496,2,0.4943055734038353,4,6,2,0,1.707441821694374,0.9265762008726597
ENG-Premier League,2627,Aston Villa,João Gomes,1,2026,71,11384,M,2,129,0,0.0,0,0.0,0,0.05917521379888058,0,2,1,1,0.11307241767644882,0.053897202014923096
ENG-Premier League,2627,Aston Villa,Lamare Bogarde,1,2026,71,10025,S,1,11,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Aston Villa,Marco Bizot,1,2026,71,9614,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.051970478147268295,0.051970478147268295
ENG-Premier League,2627,Aston Villa,Matteo Ruggeri,1,2026,71,8872,D S,3,107,0,0.024554578587412834,0,0.024554578587412834,0,0.026407653465867043,1,1,0,0,0.10485943406820297,0.08030485361814499
ENG-Premier League,2627,Aston Villa,Matthew Cash,1,2026,71,8864,D S,4,291,0,0.07843043655157089,0,0.07843043655157089,0,0.04395372048020363,1,1,2,0,0.9714933931827545,0.8930629566311836
ENG-Premier League,2627,Aston Villa,Nicolas Jackson,1,2026,71,10048,F,4,298,1,0.7952165901660919,1,0.7952165901660919,0,0.5373992472887039,8,2,2,0,1.5537186488509178,0.4070612220093608
ENG-Premier League,2627,Aston Villa,Pau Torres,1,2026,71,6221,D,3,193,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0402790792286396,0.0402790792286396
ENG-Premier League,2627,Aston Villa,Ross Barkley,1,2026,71,592,M S,5,316,0,0.3103811964392662,0,0.3103811964392662,0,0.5212244912981987,7,6,0,0,1.6356897093355656,1.374971054494381
ENG-Premier League,2627,Aston Villa,Tammy Abraham,1,2026,71,702,S,4,63,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Aston Villa,Tyrone Mings,1,2026,71,1024,D S,4,257,0,0.20571361109614372,0,0.20571361109614372,0,0.0,4,0,1,0,0.7955841198563576,0.7276137582957745
ENG-Premier League,2627,Aston Villa,Victor Lindelöf,1,2026,71,6080,D,5,450,0,0.6031574606895447,0,0.6031574606895447,0,0.10665469616651535,1,3,0,0,1.4386596903204918,0.7863424606621265
ENG-Premier League,2627,Aston Villa,Zion Suzuki,1,2026,71,12781,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,1.0465258583426476,1.0465258583426476
ENG-Premier League,2627,Bournemouth,Adam Smith,1,2026,73,825,D,5,435,0,0.01945415511727333,0,0.01945415511727333,0,0.13515419885516167,1,3,3,0,1.1409330870956182,0.9863247331231833
ENG-Premier League,2627,Bournemouth,Adrien Truffert,1,2026,73,8640,D,5,450,0,0.11559475399553776,0,0.11559475399553776,0,0.3737582862377167,4,4,1,0,0.9008121192455292,0.523752418346703
ENG-Premier League,2627,Bournemouth,Alex Scott,1,2026,73,12149,M,5,449,1,0.6130434572696686,1,0.6130434572696686,0,0.5371516682207584,7,11,1,0,1.9727439880371094,1.1186206564307213
ENG-Premier League,2627,Bournemouth,Alex Tóth,1,2026,73,14374,S,2,15,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Bournemouth,Alvaro Rodríguez,1,2026,73,11186,S,2,8,0,0.0,0,0.0,0,0.0,0,0,0,0,0.07604728639125824,0.07604728639125824
ENG-Premier League,2627,Bournemouth,António Silva,1,2026,73,14859,D,5,450,0,1.18889862857759,0,1.18889862857759,0,0.0,4,0,2,0,0.753809280693531,0.7374633122235537
ENG-Premier League,2627,Bournemouth,Ben Doak,1,2026,73,11231,S,4,6,0,0.18194323033094406,0,0.18194323033094406,0,0.0,3,0,0,0,0.1677313596010208,0.04673688858747482
ENG-Premier League,2627,Bournemouth,Daniel Jebbison,1,2026,73,9509,S,3,29,0,0.08247722685337067,0,0.08247722685337067,0,0.0,1,0,0,0,0.0,0.0
ENG-Premier League,2627,Bournemouth,David Brooks,1,2026,73,6820,S,4,34,0,0.0,0,0.0,0,0.03736777603626251,0,2,1,0,0.03736777603626251,0.0
ENG-Premier League,2627,Bournemouth,Djordje Petrovic,1,2026,73,12032,GK,5,450,0,0.0,0,0.0,0,0.0,0,0,0,0,0.6285185143351555,0.6285185143351555
ENG-Premier League,2627,Bournemouth,Evanilson,1,2026,73,12963,F,5,430,0,0.9197197556495667,0,0.9197197556495667,3,1.2218931317329407,8,6,1,0,2.3645593225955963,0.7764686997979879
ENG-Premier League,2627,Bournemouth,James Hill,1,2026,73,10747,D,5,450,0,0.0,0,0.0,0,0.7499553021043539,0,5,1,0,1.6133190467953682,1.5825573205947876
ENG-Premier League,2627,Bournemouth,Justin Kluivert,1,2026,73,6963,M,4,311,1,1.0765978209674358,1,1.0765978209674358,0,0.20000631362199783,10,3,1,0,1.1086337603628635,0.46292824298143387
ENG-Premier League,2627,Bournemouth,Lewis Cook,1,2026,73,1789,M S,5,177,0,0.0,0,0.0,0,0.025550469756126404,0,1,1,0,0.5940587893128395,0.5940587893128395
ENG-Premier League,2627,Bournemouth,Marcus Tavernier,1,2026,73,10741,M,5,434,3,1.6946706473827362,3,1.6946706473827362,0,1.4790641739964485,13,9,2,0,2.162270724773407,0.5718400599434972
ENG-Premier League,2627,Bournemouth,Rayan,1,2026,73,14395,M,5,446,0,1.5897435583174229,0,1.5897435583174229,0,0.6875993143767118,12,3,0,0,3.069048047065735,0.8183238636702299
ENG-Premier League,2627,Bournemouth,Ryan Christie,1,2026,73,10744,M S,4,95,0,0.6965257525444031,0,0.6965257525444031,0,0.07604728639125824,4,1,0,0,1.0079867839813232,0.27455729246139526
ENG-Premier League,2627,Bournemouth,Tyler Adams,1,2026,73,7352,M S,5,286,0,0.015973834320902824,0,0.015973834320902824,0,0.06962877698242664,1,2,0,0,1.081352660432458,1.0117238759994507
ENG-Premier League,2627,Brentford,Aaron Hickey,1,2026,244,8942,D S,5,147,0,0.04162506014108658,0,0.04162506014108658,0,0.0,1,0,0,0,0.33645036816596985,0.29482530802488327
ENG-Premier League,2627,Brentford,Callum Wilson,1,2026,244,468,S,3,8,0,0.15129926800727844,0,0.15129926800727844,0,0.14352603256702423,2,1,0,0,0.29482530802488327,0.06660652905702591
ENG-Premier League,2627,Brentford,Caoimhin Kelleher,1,2026,244,7904,GK,5,450,0,0.0,0,0.0,0,0.0,0,0,0,0,0.8992864489555359,0.8992864489555359
ENG-Premier League,2627,Brentford,Dango Ouattara,1,2026,244,9662,M S,5,180,0,0.0655486648902297,0,0.0655486648902297,0,0.4146657194942236,4,4,0,0,1.1785214450210333,0.9566460847854614
ENG-Premier League,2627,Brentford,El Hadji Malick Diouf,1,2026,244,13723,S,2,32,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
